City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speeds
cape town,20,ZA,1574531984,68,-33.93,18.42,66.2,11.41
mataura,83,NZ,1574531656,90,-46.19,168.86,55.0,21.99
mahina,0,ML,1574532035,11,13.76,-10.85,94.87,5.39
morgan city,40,US,1574532035,82,29.7,-91.21,66.99,9.17
tuktoyaktuk,75,CA,1574532035,84,69.44,-133.03,1.4,2.24
sechura,72,PE,1574532035,93,-5.56,-80.82,64.94,15.77
butaritari,54,KI,1574532036,67,3.07,172.79,83.57,9.37
buala,99,SB,1574532036,83,-8.15,159.59,77.79,6.53
nara,16,JP,1574532036,93,34.68,135.8,60.8,6.93
bluff,0,AU,1574532036,89,-23.58,149.07,67.42,8.57
batagay-alyta,9,RU,1574532036,72,67.8,130.41,-31.81,2.57
rikitea,10,PF,1574532036,65,-23.12,-134.97,71.83,8.72
maragogi,23,BR,1574532036,71,-9.01,-35.22,79.45,11.32
carnarvon,0,ZA,1574532036,16,-30.97,22.13,71.01,20.38
praia,40,BR,1574532036,55,-20.25,-43.81,86.0,8.05
mahanoro,100,MG,1574532036,82,-19.9,48.8,79.54,13.82
nemuro,59,JP,1574532037,89,43.32,145.57,49.86,18.52
tasiilaq,20,GL,1574532037,73,65.61,-37.64,24.8,2.24
yeppoon,1,AU,1574532037,77,-23.13,150.74,69.8,1.7
albany,40,US,1574531972,51,42.65,-73.75,43.0,9.17
georgetown,40,GY,1574532023,79,6.8,-58.16,84.2,9.17
necochea,65,AR,1574532037,56,-38.55,-58.74,63.0,14.0
villanueva,20,HN,1574532037,58,15.32,-87.99,90.0,2.24
atuona,3,PF,1574532037,75,-9.8,-139.03,79.61,16.15
la ronge,90,CA,1574532037,75,55.1,-105.3,41.0,19.46
havre-saint-pierre,90,CA,1574532037,95,50.23,-63.6,35.6,10.29
verkhoyansk,22,RU,1574532037,88,67.55,133.39,-38.36,3.4
nanortalik,35,GL,1574532038,65,60.14,-45.24,34.23,6.49
linxia,98,CN,1574532038,78,35.6,103.21,21.18,1.97
bredasdorp,17,ZA,1574532038,56,-34.53,20.04,68.0,20.8
yulara,76,AU,1574532002,14,-25.24,130.99,75.2,4.7
jamestown,0,AU,1574532038,79,-33.21,138.6,49.44,5.37
ponta do sol,13,BR,1574532038,59,-20.63,-46.0,81.81,9.69
saldanha,64,PT,1574532038,83,41.42,-6.55,44.15,11.99
gloversville,75,US,1574532038,59,43.05,-74.34,43.0,12.75
madimba,40,CM,1574532038,79,4.42,9.93,84.2,3.36
inhambane,40,MZ,1574532038,83,-23.87,35.38,82.4,9.17
constitucion,5,MX,1574532038,22,23.99,-104.67,68.0,0.65
cherskiy,98,RU,1574532039,95,68.75,161.3,-25.49,7.63
tiksi,85,RU,1574532039,89,71.64,128.87,-24.75,5.41
sampit,42,ID,1574532039,96,-2.54,112.95,74.93,1.32
ushuaia,100,AR,1574531993,21,-54.81,-68.31,71.6,26.4
hermanus,33,ZA,1574532039,83,-34.42,19.24,64.99,3.0
anatolikon,20,GR,1574532039,93,40.66,22.71,57.99,3.36
minsk,100,BY,1574532039,57,53.9,27.56,23.0,8.95
vaini,0,IN,1574532039,64,15.34,74.49,66.07,7.63
cidreira,63,BR,1574531429,68,-30.17,-50.22,68.11,18.86
obo,66,CF,1574532039,84,5.39,26.49,71.82,4.43
punta arenas,100,CL,1574532040,54,-53.16,-70.91,73.4,14.99
polyarnyy,75,RU,1574532040,80,69.2,33.45,33.8,6.71
lebu,75,ET,1574532040,77,8.96,38.73,60.8,13.87
narsaq,20,GL,1574532040,42,60.91,-46.05,26.6,6.29
pampa,1,US,1574532040,49,35.54,-100.96,50.0,19.46
tayoltita,0,MX,1574532040,27,24.11,-105.93,76.23,3.51
port hardy,90,CA,1574532040,93,50.7,-127.42,46.4,13.87
east london,75,ZA,1574532041,83,-33.02,27.91,69.8,5.82
airai,0,TL,1574532041,50,-8.93,125.41,68.59,3.04
sambava,100,MG,1574532041,95,-14.27,50.17,75.24,1.19
mehamn,49,NO,1574532041,87,71.03,27.85,29.64,12.55
castro,75,CL,1574532041,63,-42.48,-73.76,62.6,18.34
atasu,100,KZ,1574532041,83,48.68,71.64,11.89,5.55
puerto ayora,20,EC,1574532041,53,-0.74,-90.35,77.0,13.87
dikson,61,RU,1574532041,99,73.51,80.55,-6.97,3.15
ventspils,16,LV,1574532041,74,57.39,21.56,28.4,8.05
harrison,90,US,1574532017,86,39.26,-84.82,41.0,6.93
arraial do cabo,40,BR,1574532042,62,-22.97,-42.02,86.0,18.34
avarua,100,CK,1574532042,94,-21.21,-159.78,75.2,3.36
puerto del rosario,20,ES,1574532042,64,28.5,-13.86,73.4,13.87
busselton,37,AU,1574532042,54,-33.64,115.35,57.0,10.74
ambilobe,86,MG,1574532042,84,-13.19,49.05,78.67,6.11
lompoc,1,US,1574531493,62,34.64,-120.46,70.0,3.36
vestmannaeyjar,75,IS,1574532043,81,63.44,-20.27,42.8,9.17
fare,97,PF,1574532043,75,-16.7,-151.02,81.27,15.32
brigantine,1,US,1574532043,42,39.41,-74.36,46.99,4.7
bathsheba,40,BB,1574532043,70,13.22,-59.52,86.0,14.99
sarasota,1,US,1574531893,57,27.34,-82.53,82.99,13.87
torbay,75,CA,1574532043,93,47.66,-52.73,43.0,20.8
galveston,90,US,1574531699,90,40.58,-86.19,36.0,5.82
moerai,80,PF,1574532043,83,-22.43,-151.33,74.88,20.51
mareeba,40,AU,1574532044,83,-16.99,145.42,71.6,1.88
hualmay,37,PE,1574532044,55,-11.1,-77.61,73.76,12.12
thompson,90,CA,1574531847,92,55.74,-97.86,28.4,4.7
lasa,20,CY,1574532044,55,34.92,32.53,66.2,4.7
vila franca do campo,20,PT,1574531691,88,37.72,-25.43,68.0,14.99
santiago,17,PH,1574532044,95,16.69,121.54,71.24,1.28
flinders,100,AU,1574532044,93,-34.58,150.85,64.99,9.17
kapaa,90,US,1574532044,94,22.08,-159.32,75.2,18.34
grand gaube,75,MU,1574532045,78,-20.01,57.66,80.6,2.24
mount gambier,90,AU,1574532045,93,-37.83,140.78,46.4,6.93
namatanai,97,PG,1574532045,71,-3.66,152.44,81.57,10.09
hobart,57,AU,1574532021,53,-42.88,147.33,50.0,9.17
suoyarvi,85,RU,1574532045,63,62.08,32.35,23.27,5.77
kahului,40,US,1574532045,73,20.89,-156.47,77.0,17.22
port elizabeth,1,US,1574532041,42,39.31,-74.98,46.4,4.7
norman wells,90,CA,1574532045,92,65.28,-126.83,14.0,2.24
yellowknife,90,CA,1574531666,100,62.45,-114.38,23.0,6.93
chernyakhiv,100,UA,1574532045,37,50.46,28.67,24.26,12.35
kwakoa,100,TZ,1574532046,72,-3.77,37.72,76.32,11.45
dargaville,92,NZ,1574532046,96,-35.94,173.86,57.99,3.65
esperance,83,AU,1574532046,87,-33.86,121.89,53.6,4.27
chokurdakh,94,RU,1574532046,98,70.62,147.9,-21.05,8.79
qaanaaq,100,GL,1574532046,71,77.48,-69.36,9.59,9.01
sorland,100,NO,1574532046,77,67.67,12.69,45.55,7.81
north myrtle beach,90,US,1574532046,72,33.83,-78.68,70.0,5.82
ribeira grande,75,PT,1574532046,88,38.52,-28.7,68.0,20.8
fort wellington,33,GY,1574532046,74,6.4,-57.6,83.1,10.83
sawtell,92,AU,1574532047,88,-30.38,153.1,68.0,6.93
guaymas,20,MX,1574531922,64,27.92,-110.9,73.0,6.24
pisco,90,PE,1574532047,30,-13.71,-76.2,71.6,14.99
sitka,0,US,1574532047,58,37.17,-99.65,48.99,11.01
morehead,90,US,1574532047,93,38.18,-83.43,51.8,3.36
dudinka,62,RU,1574531845,83,69.41,86.18,-9.4,15.66
san quintin,48,PH,1574532047,88,17.54,120.52,72.23,4.27
nikolskoye,82,RU,1574532048,79,59.7,30.79,19.99,6.71
westport,1,US,1574531680,42,41.14,-73.36,46.99,8.05
oltu,0,TR,1574532048,62,40.55,42.0,29.61,3.76
upernavik,100,GL,1574532048,60,72.79,-56.15,22.77,11.27
nesna,100,NO,1574532048,86,66.2,13.02,34.83,7.76
baiyin,98,CN,1574532048,62,36.55,104.13,23.0,6.71
hambantota,26,LK,1574532048,75,6.12,81.12,81.75,18.16
saint-philippe,90,CA,1574532048,73,45.36,-73.48,36.0,10.29
hilo,75,US,1574532048,78,19.71,-155.08,72.0,5.82
mouila,100,GA,1574531692,85,-1.86,11.06,76.91,3.24
pevek,100,RU,1574532048,91,69.7,170.27,-8.23,4.56
alofi,100,NU,1574532048,100,-19.06,-169.92,75.2,5.82
nova prata,69,BR,1574532049,78,-28.78,-51.61,64.0,4.0
stabat,40,ID,1574532049,94,3.76,98.46,78.8,4.7
chuy,1,UY,1574532049,55,-33.69,-53.46,68.52,14.74
arvika,100,SE,1574532049,100,59.65,12.59,41.0,5.82
petropavlovsk-kamchatskiy,75,RU,1574532049,72,53.05,158.65,17.6,6.71
new norfolk,73,AU,1574532049,53,-42.78,147.06,50.0,9.17
hay river,40,CA,1574531669,92,60.82,-115.79,24.8,8.05
abu samrah,100,SY,1574532049,30,35.3,37.18,56.8,5.17
lososina,99,RU,1574532050,48,49.0,140.31,35.55,12.68
sittingbourne,20,GB,1574532050,100,51.34,0.73,51.8,6.93
diapaga,0,BF,1574532050,14,12.07,1.79,88.88,5.79
chazuta,40,PE,1574532050,100,-6.57,-76.13,62.6,4.7
provideniya,64,RU,1574532050,85,64.42,-173.23,2.19,7.36
nome,1,US,1574532050,67,30.04,-94.42,59.0,10.29
valdivia,90,CL,1574532050,82,-39.81,-73.25,60.8,9.17
endicott,1,US,1574532050,64,42.1,-76.05,42.01,5.82
mehran,20,IR,1574532050,52,33.12,46.17,41.0,2.24
samarai,12,PG,1574532050,89,-10.62,150.67,70.99,5.77
boromo,0,BF,1574532051,15,11.74,-2.93,91.09,4.76
union,90,US,1574531922,93,34.72,-81.62,61.0,6.93
shahreza,100,IR,1574532051,65,32.01,51.87,37.26,5.48
san patricio,23,PY,1574532051,50,-26.98,-56.83,87.57,10.78
talnakh,20,RU,1574532051,83,69.49,88.39,-9.4,15.66
gedo,100,ET,1574532051,88,9.01,37.45,57.09,4.94
chifeng,100,CN,1574532051,40,42.27,118.96,24.12,3.31
hirara,100,JP,1574532051,87,24.8,125.28,77.29,9.93
malakwal,5,PK,1574532051,52,32.55,73.21,62.46,5.53
camacha,40,PT,1574532052,77,33.08,-16.33,71.6,13.87
hithadhoo,75,MV,1574532052,76,-0.6,73.08,83.17,8.52
axim,4,GH,1574531682,79,4.87,-2.24,79.83,5.17
barrow,35,AR,1574532052,15,-38.31,-60.23,79.2,12.57
saint-joseph,100,FR,1574531679,93,43.56,6.97,57.2,9.17
yerbogachen,100,RU,1574532052,95,61.28,108.01,-8.25,9.19
qasigiannguit,100,GL,1574532052,64,68.82,-51.19,32.11,14.2
svetlopolyansk,100,RU,1574532052,97,59.42,52.36,16.2,4.63
los llanos de aridane,20,ES,1574532052,83,28.66,-17.92,71.6,8.05
kavieng,83,PG,1574532052,77,-2.57,150.8,81.39,8.7
souillac,66,FR,1574532053,93,45.6,-0.6,52.0,10.29
kudahuvadhoo,89,MV,1574532053,75,2.67,72.89,84.0,12.1
lakatoro,100,VU,1574531704,68,-16.11,167.42,76.57,20.31
mjolby,99,SE,1574532053,100,58.33,15.12,41.0,8.05
codrington,0,AU,1574532053,87,-28.95,153.24,69.8,5.82
port augusta,0,AU,1574532053,82,-32.49,137.76,55.4,4.7
port alfred,82,ZA,1574532045,84,-33.59,26.89,68.0,1.99
tura,100,RU,1574532053,97,64.27,100.22,-15.2,0.45
guerrero negro,87,MX,1574532053,47,27.97,-114.04,68.76,2.59
piney green,90,US,1574532053,93,35.09,-78.48,54.0,5.26
awjilah,46,LY,1574532054,21,29.14,21.3,67.95,10.49
victoria,75,BN,1574531953,83,5.28,115.24,78.8,3.36
hofn,81,IS,1574531659,85,64.25,-15.21,43.5,17.9
grand forks,1,US,1574532054,95,47.91,-97.06,35.6,9.17
sao felix do xingu,100,BR,1574532034,92,-6.64,-51.99,74.14,2.39
henties bay,0,NA,1574532054,79,-22.12,14.28,64.99,14.0
saint john,20,CA,1574532054,50,45.28,-66.06,32.0,16.11
mykolayiv,75,UA,1574532055,55,46.97,32.0,33.01,13.42
clyde river,90,CA,1574532055,92,70.47,-68.59,19.4,20.8
poum,40,MK,1574532055,86,41.28,20.71,41.0,3.36
adamas,98,GR,1574532055,87,36.73,24.43,59.0,6.93
aklavik,90,CA,1574532055,84,68.22,-135.01,8.6,3.36
ahipara,100,NZ,1574532055,100,-35.17,173.16,57.99,17.72
kruisfontein,23,ZA,1574532055,88,-34.0,24.73,57.96,3.62
fortuna,1,US,1574532009,81,40.6,-124.16,53.01,8.05
honningsvag,63,NO,1574532055,76,70.98,25.97,37.89,19.93
trinidad,75,BO,1574532055,70,-14.83,-64.9,86.0,9.17
goianesia,60,BR,1574532056,51,-15.32,-49.12,83.7,8.66
plettenberg bay,11,ZA,1574532056,80,-34.05,23.37,62.15,3.65
nisia floresta,20,BR,1574532056,62,-6.09,-35.21,86.0,14.99
asosa,100,ET,1574532056,64,10.07,34.53,71.91,2.77
zhigansk,100,RU,1574532056,96,66.77,123.37,-19.64,8.25
barra da estiva,83,BR,1574532056,52,-13.63,-41.33,78.85,5.59
carutapera,100,BR,1574531703,78,-1.2,-46.02,81.73,11.5
